#{"t_start": 1621788826.2877219, "env_id": null}
r,l,t
5.597756,49,14.521532
5.741638,49,14.556016
4.218748,49,14.574342
5.216361,49,14.591325
4.99985,49,14.633187
4.317398,49,14.660474
7.206915,49,14.693732
6.226207,49,14.780384
4.984538,49,14.820077
6.7222,49,14.905201
7.119517,49,14.933598
5.049779,49,14.962161
6.561292,49,15.025255
6.014032,49,15.076194
7.273189,49,15.100485
7.84266,49,15.149429
7.689509,49,15.171762
5.830628,49,15.220594
4.692108,49,15.241093
5.879055,49,15.263813
6.27955,49,15.319183
8.203296,49,15.33699
6.140936,49,15.373408
7.08968,49,15.392576
6.364608,49,15.409698
6.627615,49,15.447181
7.56078,49,15.466856
6.295827,49,15.485279
7.281136,49,15.520609
7.276088,49,15.5388
7.010741,49,15.57672
6.693591,49,15.595224
6.95697,49,15.612816
6.418507,49,15.659616
6.143885,49,15.67756
6.210952,49,15.713355
4.70732,49,15.730555
7.511654,49,15.748887
4.752588,49,15.784117
6.607319,49,15.800688
7.048395,49,15.818404
8.030474,49,15.851925
5.293087,49,15.868309
6.717577,49,15.905176
6.221001,49,15.923797
4.881117,49,15.942641
5.013709,49,15.977162
6.254146,49,15.994456
5.742146,49,16.034301
7.348782,49,16.058562
7.472361,49,16.082568
7.200748,49,16.127841
6.859225,49,16.150844
7.252632,49,16.17486
7.509764,49,16.233577
6.20187,49,16.256489
6.168185,49,16.300878
6.399282,49,16.323989
7.476907,49,16.347818
7.12976,49,16.404273
6.294038,49,16.433569
5.243109,49,16.465054
5.442015,49,16.51595
7.05665,49,16.533675
4.47457,49,16.56896
6.054879,49,16.586717
6.151474,49,16.603857
6.953425,49,16.63864
7.039611,49,16.656384
5.663549,49,16.694913
5.849308,49,16.714384
5.33377,49,16.732615
6.583199,49,16.766919
6.938414,49,16.784031
5.799766,49,16.812103
6.841156,49,16.847506
6.369864,49,16.86552
5.101356,49,16.900011
7.233149,49,16.917672
5.575227,49,16.935128
6.092025,49,16.97504
7.337148,49,16.997582
5.960327,49,17.042437
5.787246,49,17.065753
8.168236,49,17.089142
6.541939,49,17.135165
5.845976,49,17.15885
7.162651,49,17.18293
6.567401,49,17.227802
7.619146,49,17.25042
5.948302,49,17.295578
6.909763,49,17.31902
7.726469,49,17.343567
5.846945,49,17.387979
5.372791,49,17.424841
7.973114,49,17.479941
7.170835,49,17.512181
6.998746,49,17.542804
7.135928,49,17.59864
7.387734,49,17.629694
7.115383,49,17.65986
7.045622,49,17.717374
6.591561,49,17.747295
7.918204,49,17.808561
5.496368,49,17.83894
7.6585,49,17.869948
7.31673,49,17.920454
7.367664,49,17.945964
6.274252,49,17.97065
6.59193,49,18.019769
7.682703,49,18.044732
5.513821,49,18.09224
6.769255,49,18.117521
6.845513,49,18.143638
7.9342,49,18.192612
7.749622,49,18.233598
7.89514,49,18.281552
7.66386,49,18.307703
7.372464,49,18.333158
8.028791,49,18.3805
6.542564,49,18.406259
5.608697,49,18.432756
7.603534,49,18.481204
6.580458,49,18.506759
6.725116,49,18.550074
7.843608,49,18.571276
8.207097,49,18.598711
7.155068,49,18.635745
8.272866,49,18.658421
6.259381,49,18.694402
7.739301,49,18.712864
5.722891,49,18.730184
6.111006,49,18.766662
8.112547,49,18.783537
8.150551,49,18.801177
5.537596,49,18.846219
8.207289,49,18.864339
8.109619,49,18.905864
8.322891,49,18.923477
7.036909,49,18.941193
7.931141,49,18.975406
7.760071,49,18.996681
8.004505,49,19.014735
7.029589,49,19.049915
7.874861,49,19.070337
6.852825,49,19.108967
6.126138,49,19.130125
6.885263,49,19.152054
4.681559,49,19.199439
8.305141,49,19.220602
7.540469,49,19.263868
7.710729,49,19.284012
7.866037,49,19.302269
7.914695,49,19.33713
5.670582,49,19.355029
5.500031,49,19.373431
8.051195,49,19.419327
8.151644,49,19.436507
8.417664,49,19.474788
7.972944,49,19.496176
7.851094,49,19.51621
7.176618,49,19.556785
6.817077,49,19.577426
6.861877,49,19.620353
5.664052,49,19.642423
6.986292,49,19.662502
8.114911,49,19.707903
7.283017,49,19.726739
